created_at,val_loss
2020-03-18 17:53:37.295508,
2020-03-18 17:53:37.359117,
2020-03-18 17:53:37.417458,
2020-03-18 17:53:37.473254,
2020-03-18 17:53:37.533738,
2020-03-18 17:53:37.596440,
2020-03-18 17:53:37.658350,
2020-03-18 17:53:37.718944,
2020-03-18 17:53:37.773351,
2020-03-18 17:53:37.828063,
2020-03-18 17:53:37.886837,
2020-03-18 17:53:37.942566,
2020-03-18 17:53:37.996565,
2020-03-18 17:53:38.060712,
2020-03-18 17:53:38.121673,
2020-03-18 17:53:38.184021,
2020-03-18 17:53:38.244896,
2020-03-18 17:53:38.306070,
2020-03-18 17:53:38.368611,
2020-03-18 17:53:38.427646,
2020-03-18 17:53:38.491640,
2020-03-18 17:53:38.553553,
2020-03-18 17:53:38.614579,
2020-03-18 17:53:38.672753,
2020-03-18 17:53:38.733327,
2020-03-18 17:53:38.791302,
2020-03-18 17:53:38.850969,
2020-03-18 17:53:38.911142,
2020-03-18 17:53:38.968706,
2020-03-18 17:53:39.024702,
2020-03-18 17:53:39.083016,
2020-03-18 17:53:39.141095,
2020-03-18 17:53:39.199887,
2020-03-18 17:53:39.256409,
2020-03-18 17:53:39.312318,
2020-03-18 17:53:39.368627,
2020-03-18 17:53:39.425260,
2020-03-18 17:53:39.482373,
2020-03-18 17:53:39.540249,
2020-03-18 17:53:39.600081,
2020-03-18 17:53:39.661609,
2020-03-18 17:53:39.721448,
2020-03-18 17:53:39.777947,
2020-03-18 17:53:39.834182,
2020-03-18 17:53:39.890821,
2020-03-18 17:53:39.948024,
2020-03-18 17:53:40.007117,
2020-03-18 17:53:40.065844,
2020-03-18 17:53:40.122993,
2020-03-18 17:53:40.180499,
2020-03-18 17:53:40.242450,
2020-03-18 17:53:40.300508,
2020-03-18 17:53:40.358196,
2020-03-18 17:53:40.415024,
2020-03-18 17:53:40.477208,
2020-03-18 17:53:40.536950,
2020-03-18 17:53:40.596212,
2020-03-18 17:53:40.651335,
2020-03-18 17:53:40.706735,
2020-03-18 17:53:40.765179,
2020-03-18 17:53:40.825862,
2020-03-18 17:53:40.883548,
2020-03-18 17:53:40.939952,
2020-03-18 17:53:40.996698,
2020-03-18 17:53:41.056799,
2020-03-18 17:53:41.116095,
2020-03-18 17:53:41.176775,
2020-03-18 17:53:41.233775,
2020-03-18 17:53:41.290872,
2020-03-18 17:53:41.348231,
2020-03-18 17:53:41.407791,
2020-03-18 17:53:41.466517,
2020-03-18 17:53:41.525377,
2020-03-18 17:53:41.584120,
2020-03-18 17:53:41.645241,
2020-03-18 17:53:41.702757,
2020-03-18 17:53:41.761475,
2020-03-18 17:53:41.819090,
2020-03-18 17:53:41.879241,
2020-03-18 17:53:41.938010,
2020-03-18 17:53:41.997039,
2020-03-18 17:53:42.056685,
2020-03-18 17:53:42.114822,
2020-03-18 17:53:42.171868,
2020-03-18 17:53:42.229852,
2020-03-18 17:53:42.288851,
2020-03-18 17:53:42.346591,
2020-03-18 17:53:42.404577,
2020-03-18 17:53:42.463021,
2020-03-18 17:53:42.520955,
2020-03-18 17:53:42.583847,
2020-03-18 17:53:42.644336,
2020-03-18 17:53:42.706845,
2020-03-18 17:53:42.765468,
2020-03-18 17:53:42.826970,
2020-03-18 17:53:42.886130,
2020-03-18 17:53:42.945750,
2020-03-18 17:53:43.006745,
2020-03-18 17:53:43.065453,
2020-03-18 17:53:43.127231,
2020-03-18 17:53:43.190177,
2020-03-18 17:53:43.252375,
2020-03-18 17:53:43.313570,
2020-03-18 17:53:43.372473,
2020-03-18 17:53:43.432633,
2020-03-18 17:53:43.495175,
2020-03-18 17:53:43.555182,
2020-03-18 17:53:43.617842,
2020-03-18 17:53:43.680840,
2020-03-18 17:53:43.738852,
2020-03-18 17:53:43.801453,
2020-03-18 17:53:43.860632,
2020-03-18 17:53:43.922730,
2020-03-18 17:53:43.983549,
2020-03-18 17:53:44.050858,
2020-03-18 17:53:44.111389,
2020-03-18 17:53:44.169831,
2020-03-18 17:53:44.226013,
2020-03-18 17:53:44.283539,
2020-03-18 17:53:44.341407,
2020-03-18 17:53:44.404694,
2020-03-18 17:53:44.465189,
2020-03-18 17:53:44.525631,
2020-03-18 17:53:44.584107,
2020-03-18 17:53:44.645784,
2020-03-18 17:53:44.705045,
2020-03-18 17:53:44.764477,
2020-03-18 17:53:44.823348,
2020-03-18 17:53:44.884398,
2020-03-18 17:53:44.943243,
2020-03-18 17:53:45.006921,
2020-03-18 17:53:45.068165,
2020-03-18 17:53:45.126613,
2020-03-18 17:53:45.184077,
2020-03-18 17:53:45.244170,
2020-03-18 17:53:45.303567,
2020-03-18 17:53:45.365116,
2020-03-18 17:53:45.426845,
2020-03-18 17:53:45.486198,
2020-03-18 17:53:45.545654,
2020-03-18 17:53:45.608125,
2020-03-18 17:53:45.667232,
2020-03-18 17:53:45.728063,
2020-03-18 17:53:45.787697,
2020-03-18 17:53:45.849746,
2020-03-18 17:53:45.909936,
2020-03-18 17:53:45.968701,
2020-03-18 17:53:46.028026,
2020-03-18 17:53:46.089153,
2020-03-18 17:53:46.146540,
2020-03-18 17:53:46.205150,
2020-03-18 17:53:46.265526,
2020-03-18 17:53:46.325014,
2020-03-18 17:53:46.386511,
2020-03-18 17:53:46.445702,
2020-03-18 17:53:46.504912,
2020-03-18 17:53:46.562581,
2020-03-18 17:53:46.623075,
2020-03-18 17:53:46.681368,
2020-03-18 17:53:46.740278,
2020-03-18 17:53:46.801862,
2020-03-18 17:53:46.864091,
2020-03-18 17:53:46.926884,
2020-03-18 17:53:46.988308,
2020-03-18 17:53:47.046881,
2020-03-18 17:53:47.105901,
2020-03-18 17:53:47.165427,
2020-03-18 17:53:47.225481,
2020-03-18 17:53:47.287566,
2020-03-18 17:53:47.346108,
2020-03-18 17:53:47.411054,
2020-03-18 17:53:47.467900,
2020-03-18 17:53:48.082800,0.531085729598999
2020-03-18 17:53:48.092721,
2020-03-18 17:53:48.154108,
2020-03-18 17:53:48.217742,
2020-03-18 17:53:48.280091,
2020-03-18 17:53:48.339936,
2020-03-18 17:53:48.400899,
2020-03-18 17:53:48.463161,
2020-03-18 17:53:48.523333,
2020-03-18 17:53:48.582365,
2020-03-18 17:53:48.642772,
2020-03-18 17:53:48.705808,
2020-03-18 17:53:48.764678,
2020-03-18 17:53:48.826948,
2020-03-18 17:53:48.887658,
2020-03-18 17:53:48.944611,
2020-03-18 17:53:49.001717,
2020-03-18 17:53:49.058312,
2020-03-18 17:53:49.116430,
2020-03-18 17:53:49.175353,
2020-03-18 17:53:49.233971,
2020-03-18 17:53:49.295456,
2020-03-18 17:53:49.352408,
2020-03-18 17:53:49.408794,
2020-03-18 17:53:49.465221,
2020-03-18 17:53:49.525076,
2020-03-18 17:53:49.584537,
2020-03-18 17:53:49.644030,
2020-03-18 17:53:49.705089,
2020-03-18 17:53:49.767157,
2020-03-18 17:53:49.828693,
2020-03-18 17:53:49.893855,
2020-03-18 17:53:49.956705,
2020-03-18 17:53:50.017572,
2020-03-18 17:53:50.080127,
2020-03-18 17:53:50.143835,
2020-03-18 17:53:50.204666,
2020-03-18 17:53:50.263655,
2020-03-18 17:53:50.323960,
2020-03-18 17:53:50.386701,
2020-03-18 17:53:50.451068,
2020-03-18 17:53:50.516259,
2020-03-18 17:53:50.575569,
2020-03-18 17:53:50.636457,
2020-03-18 17:53:50.696958,
2020-03-18 17:53:50.760427,
2020-03-18 17:53:50.823761,
2020-03-18 17:53:50.885174,
2020-03-18 17:53:50.942849,
2020-03-18 17:53:51.000470,
2020-03-18 17:53:51.063250,
2020-03-18 17:53:51.128610,
2020-03-18 17:53:51.189300,
2020-03-18 17:53:51.250055,
2020-03-18 17:53:51.307491,
2020-03-18 17:53:51.374937,
2020-03-18 17:53:51.444135,
2020-03-18 17:53:51.511496,
2020-03-18 17:53:51.575558,
2020-03-18 17:53:51.637487,
2020-03-18 17:53:51.696236,
2020-03-18 17:53:51.760885,
2020-03-18 17:53:51.822867,
2020-03-18 17:53:51.881117,
2020-03-18 17:53:51.940099,
2020-03-18 17:53:52.000096,
2020-03-18 17:53:52.057611,
2020-03-18 17:53:52.116223,
2020-03-18 17:53:52.176216,
2020-03-18 17:53:52.236898,
2020-03-18 17:53:52.296524,
2020-03-18 17:53:52.358603,
2020-03-18 17:53:52.416989,
2020-03-18 17:53:52.474599,
2020-03-18 17:53:52.536400,
2020-03-18 17:53:52.594079,
2020-03-18 17:53:52.654323,
2020-03-18 17:53:52.718997,
2020-03-18 17:53:52.781492,
2020-03-18 17:53:52.846176,
2020-03-18 17:53:52.906676,
2020-03-18 17:53:52.969980,
2020-03-18 17:53:53.027172,
2020-03-18 17:53:53.086371,
2020-03-18 17:53:53.147802,
2020-03-18 17:53:53.207084,
